symbol,entry_time,exit_time,direction,entry_price,exit_price,pnl_abs,pnl_pct,reason,size
SOLUSDT,2025-12-08T05:03:59.999000,2025-12-08T05:13:59.999000,SHORT,134.69,134.90085714285715,-0.21085714285715085,-0.0015654996128677025,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-08T05:23:59.999000,2025-12-08T05:24:59.999000,LONG,0.14115,0.14120114285714286,5.114285714286071e-05,0.0003623298416072314,hit_stop_loss_intrabar,1.0
SOLUSDT,2025-12-08T06:04:59.999000,2025-12-08T06:08:59.999000,LONG,134.89,135.00714285714287,0.11714285714288053,0.0008684324793749021,hit_stop_loss,1.0
DOGEUSDT,2025-12-08T06:25:59.999000,2025-12-08T06:27:59.999000,LONG,0.14168,0.1418407142857143,0.0001607142857142918,0.0011343470194402302,hit_take_profit_intrabar,1.0
SOLUSDT,2025-12-08T07:11:59.999000,2025-12-08T07:12:59.999000,SHORT,135.53,135.52828571428572,0.0017142857142857792,1.2648754624701389e-05,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-08T07:23:59.999000,2025-12-08T07:25:59.999000,LONG,0.14196,0.14213357142857144,0.0001735714285714396,0.0012226784204806959,hit_take_profit_intrabar,1.0
DOGEUSDT,2025-12-08T12:51:59.999000,2025-12-08T12:56:59.999000,LONG,0.14338,0.14362107142857145,0.0002410714285714377,0.0016813462726421933,hit_take_profit_intrabar,1.0
DOGEUSDT,2025-12-08T13:24:59.999000,2025-12-08T13:40:59.999000,SHORT,0.14343,0.14342,1.0000000000010001e-05,6.972042111141324e-05,max_holding_bars_reached,1.0
DOGEUSDT,2025-12-08T13:46:59.999000,2025-12-08T13:48:59.999000,LONG,0.1439,0.14396457142857144,6.45714285714416e-05,0.00044872431251870466,hit_stop_loss_intrabar,1.0
BTCUSDT,2025-12-08T14:23:59.999000,2025-12-08T14:23:59.999000,LONG,91321.98,91337.494,15.514000000010128,0.00016988243137095943,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-08T19:37:59.999000,2025-12-08T19:50:59.999000,LONG,0.14272,0.14308160714285717,0.00036160714285715656,0.002533682335041736,hit_take_profit_intrabar,1.0
DOGEUSDT,2025-12-08T19:51:59.999000,2025-12-08T19:54:59.999000,LONG,0.143,0.143088,8.800000000000474e-05,0.0006153846153846486,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-08T20:25:59.999000,2025-12-08T20:26:59.999000,LONG,0.14329,0.14303542857142856,-0.00025457142857143733,-0.001776616850941708,hit_stop_loss,1.0
DOGEUSDT,2025-12-08T20:53:59.999000,2025-12-08T20:54:59.999000,LONG,0.1435,0.14367171428571426,0.00017171428571427505,0.0011966152314583627,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-08T21:30:59.999000,2025-12-08T21:30:59.999000,LONG,0.14373,0.14348957142857144,-0.0002404285714285581,-0.0016727793183646984,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-08T21:45:59.999000,2025-12-08T21:50:59.999000,LONG,0.14371,0.14373914285714287,2.9142857142866463e-05,0.00020278934759492353,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-08T22:00:59.999000,2025-12-08T22:02:59.999000,LONG,0.14392,0.14372842857142856,-0.00019157142857142984,-0.0013310966409910356,hit_stop_loss_intrabar,1.0
SOLUSDT,2025-12-08T22:14:59.999000,2025-12-08T22:21:59.999000,LONG,133.82,133.91028571428572,0.09028571428572718,0.0006746802741423344,hit_stop_loss_intrabar,1.0
BTCUSDT,2025-12-08T23:21:59.999000,2025-12-08T23:21:59.999000,LONG,90623.83,90628.49,4.6600000000034925,5.142135352261643e-05,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-09T00:47:59.999000,2025-12-09T00:50:59.999000,SHORT,0.14177,0.14174828571428572,2.171428571429157e-05,0.0001531655901410141,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-09T00:58:59.999000,2025-12-09T01:03:59.999000,SHORT,0.14167,0.14159857142857143,7.142857142855563e-05,0.0005041898173823367,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-09T01:04:59.999000,2025-12-09T01:05:59.999000,SHORT,0.14145,0.1416467142857143,-0.00019671428571430005,-0.0013906983790335813,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-09T02:17:59.999000,2025-12-09T02:18:59.999000,LONG,0.14109,0.14117114285714286,8.114285714286296e-05,0.0005751141621862851,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-09T02:43:59.999000,2025-12-09T02:49:59.999000,SHORT,0.14096,0.14115157142857143,-0.00019157142857142984,-0.0013590481595589516,hit_stop_loss,1.0
BTCUSDT,2025-12-09T02:59:59.999000,2025-12-09T03:06:59.999000,LONG,90100.37,90104.01371428571,3.6437142857175786,4.0440614014321794e-05,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-09T03:08:59.999000,2025-12-09T03:14:59.999000,SHORT,0.14079,0.14075514285714286,3.485714285714203e-05,0.00024758251905065726,hit_stop_loss,1.0
DOGEUSDT,2025-12-09T06:57:59.999000,2025-12-09T07:02:59.999000,LONG,0.14012,0.14014028571428572,2.0285714285722678e-05,0.00014477386729747844,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-09T08:03:59.999000,2025-12-09T08:04:59.999000,LONG,0.14087,0.14073371428571427,-0.00013628571428572767,-0.0009674573314809944,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-09T09:07:59.999000,2025-12-09T09:08:59.999000,SHORT,0.14047,0.1406037142857143,-0.00013371428571429256,-0.0009519063551953624,hit_stop_loss_intrabar,1.0
BTCUSDT,2025-12-09T09:39:59.999000,2025-12-09T09:42:59.999000,LONG,90208.0,90154.93985714286,-53.060142857139,-0.0005881977524957765,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-09T11:49:59.999000,2025-12-09T11:53:59.999000,LONG,0.14044,0.1406039285714286,0.00016392857142857875,0.0011672498677625942,hit_take_profit_intrabar,1.0
SOLUSDT,2025-12-09T12:19:59.999000,2025-12-09T12:20:59.999000,SHORT,133.2,133.3555714285714,-0.15557142857142026,-0.0011679536679536056,hit_stop_loss_intrabar,1.0
ETHUSDT,2025-12-09T13:36:59.999000,2025-12-09T13:38:59.999000,LONG,3126.26,3120.041,-6.219000000000051,-0.0019892779231414056,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-09T19:00:59.999000,2025-12-09T19:02:59.999000,LONG,0.15145,0.15116585714285713,-0.0002841428571428717,-0.001876149601471586,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-09T19:08:59.999000,2025-12-09T19:09:59.999000,SHORT,0.15078,0.15107314285714285,-0.00029314285714285293,-0.0019441759990904161,hit_stop_loss_intrabar,1.0
BTCUSDT,2025-12-09T19:44:59.999000,2025-12-09T19:46:59.999000,LONG,93738.94,93802.2417142857,63.301714285698836,0.0006752979528646135,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-09T20:15:59.999000,2025-12-09T20:17:59.999000,LONG,0.15125,0.15093242857142858,-0.00031757142857141707,-0.0020996458087366417,hit_stop_loss,1.0
BTCUSDT,2025-12-10T01:33:59.999000,2025-12-10T01:35:59.999000,LONG,92020.36,92037.57800000001,17.218000000008033,0.0001871107654872034,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-10T02:43:59.999000,2025-12-10T02:52:59.999000,SHORT,0.1467,0.14660314285714285,9.685714285714853e-05,0.0006602395559451161,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-10T03:03:59.999000,2025-12-10T03:10:59.999000,LONG,0.14714,0.14718857142857142,4.85714285714256e-05,0.0003301034971552644,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-10T03:32:59.999000,2025-12-10T03:42:59.999000,SHORT,0.14697,0.14718342857142855,-0.00021342857142855887,-0.001452191409325433,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-10T03:43:59.999000,2025-12-10T03:44:59.999000,LONG,0.14736,0.14741114285714288,5.1142857142888465e-05,0.00034706064836379256,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-10T04:07:59.999000,2025-12-10T04:12:59.999000,SHORT,0.1471,0.1472902857142857,-0.0001902857142856984,-0.0012935806545594725,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-10T04:18:59.999000,2025-12-10T04:18:59.999000,LONG,0.14764,0.14764714285714284,7.142857142844461e-06,4.8380229902766605e-05,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-10T04:39:59.999000,2025-12-10T04:40:59.999000,LONG,0.14749,0.14750457142857143,1.4571428571419354e-05,9.879604428381146e-05,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-10T05:00:59.999000,2025-12-10T05:05:59.999000,SHORT,0.14727,0.147236,3.400000000000625e-05,0.00023086847287299685,hit_stop_loss,1.0
