action,allowed_dir,bar_time,htf_adx,htf_atr,htf_ema_spread,htf_reason,position_was_open,price,reason,symbol
NO_TRADE,WAIT,2025-12-13T14:49:59.999000,30.687031463511143,157.32857142856977,-0.0009585277830979299,htf_no_clear_trend,False,90180.0,htf_blocks_entry,BTCUSDT
NO_TRADE,WAIT,2025-12-13T14:49:59.999000,28.006385970471715,10.449285714285647,-0.0003093930707540461,htf_no_clear_trend,False,3110.46,htf_blocks_entry,ETHUSDT
NO_TRADE,WAIT,2025-12-13T14:54:59.999000,30.687031463511143,158.59999999999854,-0.0010740005683901566,htf_no_clear_trend,False,90100.1,htf_blocks_entry,BTCUSDT
NO_TRADE,WAIT,2025-12-13T14:54:59.999000,28.006385970471715,10.449285714285647,-0.00038328968887672507,htf_no_clear_trend,False,3109.0,htf_blocks_entry,ETHUSDT
NO_TRADE,WAIT,2025-12-13T14:59:59.999000,30.687031463511143,158.59999999999854,-0.001058920856229996,htf_no_clear_trend,False,90114.4,htf_blocks_entry,BTCUSDT
NO_TRADE,WAIT,2025-12-13T14:59:59.999000,27.311882395088244,10.634999999999959,-0.0003024950545827814,htf_no_clear_trend,False,3111.03,htf_blocks_entry,ETHUSDT
NO_TRADE,SHORT,2025-12-13T15:04:59.999000,33.1151598575827,156.2214285714269,-0.0012431427309102607,htf_downtrend,False,90035.5,ltf_low_volume,BTCUSDT
NO_TRADE,WAIT,2025-12-13T15:04:59.999000,26.38312473790206,10.165714285714264,-0.0003039675377342445,htf_no_clear_trend,False,3108.82,htf_blocks_entry,ETHUSDT
NO_TRADE,WAIT,2025-12-13T15:09:59.999000,32.494403345680254,167.68571428571263,-0.0010071319449192196,htf_no_clear_trend,False,90199.7,htf_blocks_entry,BTCUSDT
NO_TRADE,WAIT,2025-12-13T15:09:59.999000,25.054720335471767,10.830714285714262,1.6797350011170683e-05,htf_no_clear_trend,False,3116.75,htf_blocks_entry,ETHUSDT
NO_TRADE,WAIT,2025-12-13T15:14:59.999000,31.02914109824236,171.62857142856956,-0.0011007827677950032,htf_no_clear_trend,False,90138.0,htf_blocks_entry,BTCUSDT
NO_TRADE,WAIT,2025-12-13T15:14:59.999000,24.995865358187352,11.122142857142828,6.697114764474778e-06,htf_no_clear_trend,False,3116.26,htf_blocks_entry,ETHUSDT
NO_TRADE,WAIT,2025-12-13T15:19:59.999000,31.337039769500453,161.24285714285568,-0.00109766636755839,htf_no_clear_trend,False,90109.8,htf_blocks_entry,BTCUSDT
NO_TRADE,WAIT,2025-12-13T15:19:59.999000,22.91145002497655,10.652857142857133,0.00026337766703888243,htf_no_clear_trend,False,3115.48,htf_blocks_entry,ETHUSDT
NO_TRADE,WAIT,2025-12-13T15:24:59.999000,31.33703976950045,164.38571428571282,-0.0010944242473295933,htf_no_clear_trend,False,90112.0,htf_blocks_entry,BTCUSDT
